id,word,wordtype,wordmeaning
3352,pencil drawing,noun,"a drawing done with a pencil, as opposed to pen and ink, etc."
3353,pen name,noun,a name taken by an author which is not his or her real name
3354,pen ruling,noun,printing rules on paper using grooved pens on a flatbed letterpress machine
3355,perfect,verb,to improve something until it is completely correct  adjective without any mistakes
3356,perfect binding,noun,same as adhesive binding
3357,perfect bound,adjective,"relating to a book that has a perfect binding 

3358,perfector,noun, a printing machine which prints on both sides of a sheet of paper
3359,perforate,verb,to make holes in something so that it can be torn easily. 
3360,perforating machine,noun, a machine that makes perforations in paper
3361,perforations,noun,"1. a row of tiny holes in a sheet of paper, allowing it to be torn easily 2. tiny holes made on a press or on a folding machine to help with the folding of thick pages. A letterpress printing press can be adapted to make perforations in sheets of paper."
3362,perforator,noun, a machine that punches holes
3363,performance fees,noun," fees paid for the right to read poetry or prose or to put on a production of a play, etc., to a paying audience"
3364,performing rights,noun, the right to perform a copyright work
3365,period,noun,1. a particular length of time 2. a full stop 
3366,periodic,adjective,happening occasionally but fairly regularly. Also called periodical
3367,periodical,noun,"a magazine or journal, especially a serious academic one"
3368,peripherals,noun,"items of hardware such as terminals, printers or monitors, which are attached to a main computer system"
3369,permanence,noun, the ability of paper not to yellow or become brittle with age
3370,permanent,adjective,various standard sizes of paper
3371,permanent ink,noun,ink that will not fade
3372,permanent paper,noun, acid-free paper
3373,permission  ,noun,the fact of being allowed to do something
3374,permit  ,noun,an official document allowing somebody to do a particular thing. ? You have to have a permit to study in this library.  verb to allow something to be done
3375,per pro ,,with the authority of. 
3376,personal assistant,noun," an assistant who also helps a manager with administrative tasks, e.g. booking travel tickets. 

3377,personal digital assistant ,noun," a small hand-held computer with facilities for taking notes, storing information such as addresses, and keeping a diary, usually operated using a stylus rather than a keyboard. 

3378,personal imprint , noun," a list of books published under a particular brand name by a larger publishing company, which is handled by a single editor and reflects their taste or area of expertise"
3379,personnel department  , noun,the section of a company dealing with staff and recruitment issues
3380,pH , noun," a measure of the concentration of hydrogen ions in a solution, which shows how acid or alkaline it is 

3381,pH meter, noun, a meter which measures the pH value of a solution
3382,phone book, noun, a book that lists names of people or companies with their addresses and telephone numbers
3383,phonetic,adjective, relating to phonetics . 
3384,photocompose, verb ,to set text using a phototypesetting machine
3385,photocomposer   ,noun,a machine that carries out photocomposition
3386,photocomposing machine  ,noun,a machine that carries out photocomposition
3387,photocomposition  ,noun,"a method of typesetting on film or paper from film matrices or a digital font, as opposed to hot metal or strike-on methods"
3388,photocopier , noun, a machine that copies documents by photographing them very quickly
3389,photocopy , noun," an exact copy of a document produced by a photocopier, in black and white or colour"
3390,photocopying ,noun,the act of making photocopies. 
3391,photoengravex, verb ,"to make a photoengraving
"
3392,photoengraver   ,noun,a person who makes photoengravings
3393,photoengraving, noun,"1. the process of preparing letterpress plates from illustrations 2. a halftone produced by photoengraving 

3394,photograph , noun,"a picture formed by exposing light-sensitive paper to light using a camera  verb to take pictures on sensitive film, using a camera"
3395,photographer  ,noun," a person who takes photographs
"
3396,photographer's studio , noun,same as film studio
3397,photographic ,adjective ,used to describe anything to do with photography or photographs
3398,photographically ,adverb,using photography.
3399,photographic paper  ,noun, paper used to print photographs
3400,photographic print,noun,a photograph printed onto paper
3401,photographic studio,noun, a place where photographs are made or where films are developed and printed
3402,photograph library,noun,a library of photographs which can be borrowed and reproduced for a fee
3403,photography,noun,the art or skill of producing photographs including use of a camera and the processing of the films
3404,photogravure,noun,a printing method in which the paper is pressed directly onto the printing plate
3405,photolithography,noun, printing using a lithographic printing plate prepared by photographic methods and not by hand
3406,photomechanical transfer,noun,"1. a print made using photosensitive paper which transfers an image to another piece of paper, not using a negative.


3407,photomontage,noun, a montage made of several photographs
3408,photopolymer plate,noun, a printing plate which has a layer of photosensitive plastic bonded to a flexible metal plate
3409,photopolymer resin,noun, photosensitive plastic material which coats a plate
3410,photoprint,noun,the final proof of a typeset copy
3411,photosensitive,adjective,sensitive to light
3412,phototext,noun,characters and text produced by a phototypesetter
3413,phototypesetter,noun,"a person who works with a computer and light-sensitive film to produce text ready for printing 

3414,phototypesetting,noun,"a method of typesetting that creates characters using a computer and exposing a sensitive film in front of a mask containing the required character shape 

3415,photounit,noun,the part of a phototypesetting machine in which the image of the character is created
3416,physical map,noun," a map that shows the physical features of an area such as mountains and rivers
"
3417,pi,verb,same as pie
3418,pica,noun,a measurement of typeface equal to 12 point
3419,pica em,noun, a measure of width of type equivalent to 12 point or pica
3420,pi characters,noun,"extra items not carried in the normal type font, such as odd fractions or accents. Also called special sorts"
3421,pick,noun,fibres pulled from the surface of paper by tacky ink on the printing plate
3422,picking,noun,"the pulling of fibres from the surface of paper as it is being printed, caused by poor paper surface or tacky ink on the plates. Also called plucking"
3423,picking list,noun,"a list of items in an order, but listed according to where they can be found in the warehouse"
3424,picking resistance,noun,the ability of paper to withstand picking
3425,pick up,verb, 1. to learn a skill or an idea easily 2. to improve. ? The working conditions for the library staff picked up last month.
3426,PICS,noun,a file format used to import a sequence of PICT files on an Apple Macintosh
3427,PICT,noun," on an Apple Macintosh, a graphics file format that stores images in the QuickDraw vector format. Full form picture
"
3428,"pictogram, pictograph  ",noun,"a little picture used to represent something 

3429,pictorial,adjective,expressed in pictures.
3430,picture,noun,"a drawing, painting or photograph"
3431,pituture agency,noun, a company or ogranisation which has a picture library and lends illustrations to publishers for a fee
3432,picture book,noun, a book with a large number of illustrations
3433,picture department,noun, a department in a publisher's office which looks for pictures to be used in books
3434,picture element,noun,full form of pixel
3435,picture library,noun,"a storage system for pictures, which can be borrowed 'The Google deal allows customers to buy and rent selected video clips from ITN Archive, which contains 680,000 hours of news footage. ITN wants to develop its archive business. The model would be picture libraries such as US group Getty Images, whose annual turnover is �415 million.' [The Mail on Sunday]"
3436,picture pages,noun,pages of a book or magazine which have illustrations
3437,picture processing,noun,"analysis of the information contained in an image, usually by computer, providing recognition of objects in the image"
3438,picture research,noun," the job of looking for pictures which can be used in something such as a book, magazine or TV documentary"
3439,picture researcher,noun,"somebody who looks for pictures relevant to a particular topic, so that they can be used as illustrations in something such as a book, newspaper or TV programme
"
3440,picture transmission,noun,the transmission of images over a telephone line
3441,picturisation book rights,noun,the right to publish a book containing pictures or cartoons which have been published separately in newspapers
3443,piece,noun,a small part of something.
3444,piece accent,noun,a floating accent
3445,piece fraction,noun,a fraction made up of two small figures separated by a hyphen
3446,piece fractions,noun,"commonly used fractions such as �, �, etc. which are available as a single piece of type"
3447,piece rate,noun, a rate of pay calculated per unit produced or for a piece of work done and not paid for at an hourly rate
3448,piecework,noun, work that is paid for at a set rate per unit produced and not at an hourly rate
3449,pie chart,noun, a statistical diagram where the ratios are shown as sections of a circle
3450,pierced block,noun,"a letterpress block with a hole cut through it, leaving a large area of white
"
3451,pi font,noun, a font of pi characters
3452,pigment,noun,"the colouring substance in ink
"
3453,pigment foils,noun," foils for blocking covers, which give a colour to the letters or design"
3454,pin,noun,a sharp piece of metal used for holding material or paper together 
3455,ping,noun,"the length of time, in milliseconds, that it takes to send a message to an intranet, Internet or web address and receive a reply  verb to send a packet of data to an intranet, Internet orweb address to check whether it is accessible or is responding"
3456,pin hole,noun,a defect in paper in the form of a tiny hole
3457,pin mark,noun,"a small depression on a piece of type, made by the pin which pushes the type out of the mould"
3458,pin register,noun," a method of aligning film, by using pins set in holes in the corners of each piece of film"
3459,pipe roller,noun,a roller on a web press which turns freely
3460,piping,noun,small ridges which occur in paper
3461,PIRA,noun, a British organisation which does research into printing techniques and offers advice to member companies and training to their staff. Full form Printing Industries Research Association
3462,piracy,noun,the act of illegally copying a piece of work under copyright
3463,PIRA SOAT,noun,"a test for the absorbency of paper, where a brass roll carrying a drop of liquid paraffin transfers some of the liquid to the paper

"
3464,pirate,verb," to copy a patented or copyright work and sell it without permission  

3465,pitch,noun," 1. the number of characters that will fit into one inch of line, when the characters are typed in monospacing 2. a sticky substance in softwood, which is present in mechanical pulp and can damage the papermaking machinery"
3466,pitch edge,noun,the edge of the paper as it is fed into a printing machine
3467,pitch marks,noun,lines drawn on cover material to allow it to be placed quickly and correctly once the glue has been applied
3468,pix,noun,pictures used in advertising or design (informal)
3469,pixel,noun,"the smallest unit of display on a computer screen whose colour or brightness can be controlled

3470,placeholder text,noun, same as dummy text
3471,plagiarise,verb,to copy somebody else's work and publish it as one's own
3472,plagiarism,noun,"the practice of copying and publishing somebody else's work as one's own
"
3473,plagiarist,noun, a person who copies other people's work without admitting what they have done
3474,plain,adjective,simple 
3475,plain-paper copier,noun,"a photocopier which can use ordinary paper such as headed stationery, and does not need special sensitised paper"
3476,plain paragraph,noun,a paragraph with the first line indented and the rest full width
3477,plaintext,noun, a term used in word processing to mean text that is in the standard font for that document without different types such boldface and italics
3478,plan,noun, 1. a carefully worked out method of achieving objectives 2. a map
3479,planchest,noun," a piece of furniture with wide flat drawers, in which large plans or artwork can be kept"
3480,plane,verb," to smooth a surface, or to reduce a surface by removing a thin layer from it 

3481,planer,noun, a wooden block used to tap the metal type to fit it in place
3482,planning,noun, the process of working out in detail how to do something before starting to do it
3483,planographic printing,noun,"printing from a flat printing plate, in which the lines which produce the image are not raised above or sunk below the surface of the plate, but are greasy, so that the ink stays on the image and is repelled by the rest of the wet surface of the plate"
3484,plant,noun,"1. machinery 2. originated material such as blocks or film, which belong to the publisher"
3486,plantin,noun, a popular typeface designed by Christopher Plantin in the 15th century
3487,plastic comb binding,noun,a mechanical binding process where separate sheets have holes punched in them into which the teeth of a plastic comb fit
3488,plastic wrapping,noun,thin transparent plastic sheets used to wrap magazines for distribution
3489,plate,noun,"1. an illustration in a book often on better-quality paper than the text 2. a surface on which the text or image to be printed is fixed 

3490,plate camera,noun, a camera that uses glass plates instead of film
3491,plate cylinder,noun, a heavy cylinder on which the plate is fixed in a printing press
3492,plate-making,noun, the making of plates for printing
3493,platen,noun, a roller which supports the paper in a printer
3494,platen press,noun,a letterpress printing machine where the paper is placed on the type and a flat plate presses down on it
3495,plate proof,noun, a proof taken directly from the printing plate
3496,plate slap,noun,the noise made by a plate which does not fit tightly around the cylinder
3497,plating ,noun, the act of fitting plates to the plate cylinder
3498,plating sequence,noun,the order in which the plates are fixed to the cylinder
3499,plc,abbreviation, Public Limited Company
3500,plot,verb, to mark co-ordinates and draw a graph using them
3501,plotter,noun," a computer device that draws straight lines between two coordinates

3502,plotter driver,noun,dedicated software that converts simple instructions issued by a user into complex control instructions to direct the plotter
3503,plotter pen,noun,an instrument used in a plotter to mark the paper with ink as it moves over it
3504,plotting mode,noun, the ability of some word processors to produce graphs by printing a number of closely spaced characters rather than individual pixels
3505,plough,noun,a hand cutter for cutting the edges of cased books
3506,PLR,abbreviation,LIBRARIES Public Lending Right
3507,plucking,noun, same as picking 
3508,plug,noun,a device with metal pins which can be inserted into an electrical socket to provide power for a machine  verb to publicise a product or event in order to encourage people to buy or watch it
3509,plug compatible,adjective,relating to a computer or peripheral which can be used with another system simply by plugging it in with a special plug
3510,plus,noun,a mathematical sign for addition (+)
3511,#NAME?,suffix,indicating the number of layers of paper or board which are glued together to give greater strength
3512,PMA,abbreviation,post mortem auctoris
3513,p-mail,noun, same as snail mail
3514,PMT,abbreviation,photomechanical transfer
3515,pocket,noun,"1. paper folded like an envelope and glued inside the cover of a book to hold a map or other insert 2. a type of envelope with a triangular flap
"
3516,pocket atlas,noun, a small atlas which can fit in the pocket
3517,pocket book,noun,1. a small notepad which can be kept in the pocket 2.  a small paperback
3518,pocket edition,noun,a book small enough to be carried in a pocket
3519,POD,abbreviation, print on demand
3520,poetry,noun,imaginative writing which is arranged in a particular pattern of lines and sounds
3521,point,noun,1. a place or position in time 2. an idea or opinion
3522,pointer,noun,a stick used to indicate something
3523,point of presence,noun,"a location where a user can connect to a network, e.g. a place where subscribers can dial in to an Internet service provider.

3524,point of sale,noun,"the place where things sold in a shop are paid for.

 Abbr POS, p.o.s."
3525,point-of-sale material,noun,"marketing material displayed in order to advertise a product where it is being sold, e.g. posters, dump bins or spinners. Also called POS material"
3526,point-of-sale terminal,noun," a computer terminal at a point of sale, used to provide detailed product information and connected to a central computer to give immediate stock control information. Also called POS terminal"
3527,point size,noun,"the size of printed letters 

3528,point to point protocol,noun,full form of PPP 
3529,polished foil,noun," a foil for blocking book covers, giving a shiny finish in many different colour shades"
3530,polythene,noun,a thin plastic film used for wrapping
3531,polyurethane binding,noun," a strong adhesive binding used for heavy reference books offering good open-flat qualities. 

3532,polyvinyl acetate,noun," a synthetic cold melt glue used in binding. 

3533,POP,abbreviation, point of presence 
3534,popular dailies,noun,daily papers published for the mass market readership
3535,popular edition,noun," a book with poorer paper and a lighter cover than the norm, sold at a cheaper price"
3536,popular prices,noun,prices which are low and therefore liked
3537,pop-up,adjective,containing cut-out figures that rise up as a page is opened 
3539,pornography,noun," publications of an obscene nature, usually in a sexual sense"
3540,porosity,noun, the ability of a material to allow fluids to pass through
3541,porous,adjective,allowing fluids to pass through
3542,port,noun, a socket or other physical connection allowing data transfer between a computer's internal communications channel and another external device
3543,portable,adjective,easily carried  noun an easily carried machine such as a small computer or television
3544,portable colour duct,noun, a device which can be attached to a printer to change the colour of the printing ink
3545,portal ,noun,a website that provides links to information and other websites
3546,portfolio,noun,"1. a collection of original works 2. an area of responsibility held by a government minister 3. a thin, flat case for carrying drawings and papers
"
3547,portrait,noun,"a painting, drawing or photograph of a person"
3548,portrait format,noun,"vertical format with the height greater than the width, as opposed to landscape format"
3549,Pos,abbreviation,point of sale
3550,position,noun, a person's job or status within a company
3551,positive,adjective," made from a negative, i.e. with the black showing as black, or with the same colours as the original"
3552,positive film,noun," film made from a negative, i.e. with the black showing as black, or with the same colours as the original"
3553,positive reading,adjective, same as right-reading
3554,POS material,noun,same as point-of-sale material
3555,post-,prefix," combining with nouns, adjectives and dates to indicate that something has happened after the stated time. "
3556,postage,noun,payment for sending a letter or parcel by post
3557,postage paid,adjective, words printed on an envelope to show that the sender has paid the postage even though there is no stamp on it
3558,postal ,adjective,"relating to the post  

3559,postal charges,noun, money to be paid for sending letters or parcels by post. 
3560,postal order,noun," a document bought at a post office, as a method of paying small amounts of money by post"
3561,postal packet,noun,a small container of goods sent by post
3562,post-binding,noun, a type of loose-leaf binding using metal posts which pass through the holes in the leaves
3563,post card,noun,"a card, often with a picture on one side, which can be written on and sent without an envelope"
3564,postcode,noun, a system of letters and numbers used by the post office to identify towns and roads to aid the delivery of letters
3565,post-editing,noun, the act of editing and modifying text after it has been compiled or translated by a machine
3566,poster,noun,"a large notice or advertisement stuck to a wall or board 

3567,POS terminal,noun, same as point-of-sale terminal
3568,poster paper,noun,paper which is glossy on one side and rough on the other
3569,poster stick,noun,a large composing stick which can hold the large type needed for printing posters
3570,poster type,noun,"very large typefaces used for posters, often made of wooden blocks"
3571,post-formatted,adjective,arranged into pages at the printing stage rather than on screen
3572,posthumous,adjective,published or printed after the author's death
3573,posthumously,adverb,after a person's death
3574,posting,noun, a message sent to and displayed on an online facility such as an Internet newsgroup or bulletin board
3575,post mortem auctoris,phrase,"a Latin phrase meaning 'after the death of the author', used in copyright law. 

3576,post office,noun,a national organisation which controls the postal services within a country
3577,post office box number,noun," a reference number given for delivering mail to a post office, so as not to give the actual address of the person who will receive it"
3578,postpone,verb,to rearrange for something to be done at a later date or time
3579,postponement,noun,the act of arranging for something to take place later than planned.
3580,postscript,noun,"an addition to the end of something such as a book, story or document"
3581,PostScript,," a trade name for a standard page description language developed by Adobe Systems. PostScript offers flexible font sizing and positioning and it is most often used in DTP systems, high-quality laser printers and phototypesetters. ? If you do a lot of DTP work, you will benefit from a PostScript printer."
3582,pot,noun, a container for molten metal on a typecasting machine
3583, potboller,noun,a work written purely to earn money with no literary merit
3586,powderless etching,noun," a method of etching blocks without needing to use dragon's blood, using magnesium alloy plates instead of zinc, giving very fine lines. Also called Dow etching"
3587,pp,abbreviation,pages
3588,p.p.,verb,to p.p. a letter to sign a letter on behalf of somebody
3589,ppm,abbreviation, pages per minute
3590,PPP,noun,protocol that allows a computer to use the TCP/IP protocol over a telephone connection. Full form point to point protocol
3591,PR,abbreviation, public relations
3592,predesigned,adjetive,provided to the customer already designed 
3593,pre-edit,verb, to change text before it is run through a machine to make sure it is compatible
3594,pref.,abbreviation,preface
3595,preface,noun,an author's note which comes before the introduction and after any dedication
3596,prefatory note,noun," a note addressed to the reader, printed at the beginning of a book"
3597,prefferred position,noun,"a position for an advertisement in a magazine, which is particularly asked for by the advertiser"
3598,prefix,noun,"a word or letters added to the front of another word, which can change its meaning, e.g. in 'undone', 'misread'"
3599,prejudice,noun, an unfair and often negative feeling based on incomplete knowledge and information
3600,prekey,verb,to keyboard a text before sending it for typesetting
3601,preliminary,adjective,early or happening before anything else
3602,preliminary discussion,noun,a discussion or meeting which takes place before the main discussion or meeting starts
3603,prelims,noun,"the initial pages of a book, including the title page and table of contents, which precede the main text. Also called front matter 

3604,pre-make-ready work ,noun,"1. a routine in a composing room to prepare a forme before making ready on a letterpress machine 2. preparation of an offset machine for printing, including plate-making"
3605,premium book,noun," a book offered as a gift to subscribers to another book or series of books, or offered at a very cheap price as an incentive to members of a book club"
3606,pre-press,adjective, before going to press
3607,pre-press costs,noun, the costs of preparing a book or magazine up to the camera-ready copy or film stage
3608,pre-press proof,noun,"a proof made from the film, before printing starts"
3609,pre-press work,noun,"the process of preparing an offset machine for printing, including plate-making and making ready. Also called pre-makeready work"
3610,preprint,noun,"1. a small section of a book printed before the rest and sent out in advance as publicity matter 2. printed material which is then overprinted, such as colour sections without text  verb to print something before the rest of the job"
3611,preprinted cover,noun," a cover which is printed in advance of the main binding, e.g. to be used for display purposes or for reps to use"
3612,preprinted stationery,noun, stationery which has already been printed with the company's logo and address at the head or foot
3613,prepublication,adjective,relating to or occurring in the period before a book or other work is published
3614,prepublication advertising,noun, advertising carried out before the publication of a book
3615,prepublication sales,noun, sales which are recorded before the publication of a book
3616,prepublication selling,noun, same as advance selling
3617,prescribed text,noun, an educational book which has been listed as required for a course of study or for an exam
3618,presell,verb,to sell a book before its official publication date
3619,presensitised,adjective, with a sensitive coating ready for processing
3620,presentation,noun,a talk about a specific subject given to provide information
3621,presentation copy,noun," a copy of a book either in special binding or with a special inscription, which is given to somebody at an official ceremony"
3622,presentation visuals,noun,"artwork which is used in a presentation, to show what the finished work will look like"
3623,preseparated files,noun," digital files of the separations of a piece of artwork, each one of which is stored individually. Compare composite separations"
3624,preset,verb, to set something in advance
3625,pre-shrunk packaging,noun, US same as shrinkpackaging
3626,press,noun,1. the act or method of printing 2. a device used in printing which pushes paper onto the inked metal type
3627,press agency,noun, a company that sells news items and features to newspapers and journalists
3628,press agent,noun," a person who looks after the publicity for an author, entertainer or other famous person"
3629,press conference,noun,a meeting at which reporters from newspapers are invited to hear news of an important event or person and ask questions
3630,press copies,noun,copies of a new book which are sent to newspapers
3631,press costs,noun,"printing costs, including making plates, paper, machining and binding"
3632,press coverage,noun,the amount of space or time given in newspapers or TV and radio news bulletins to one topic
3633,press cutting agency,noun, a company that cuts out references to a client from newspapers and magazines and sends them on to the client
3634,press cuttings,noun,references to a client or person or product cut out of newspapers or magazines
3635,press date,noun, the date on which a book or magazine is printed
3636,pressing,noun,the act of flattening printed signatures
3637,pressing boards,noun, stiff cardboard plates between which the printed pages are pressed to flatten them before going for binding
3638,presspahn hollow,noun,a type of hollow used in the spine of cased books
3639,press proofs,noun,final proofs which are run off just before the printing run starts
3640,press release,noun,1. a statement given by an organisation to the media to explain a situation from their point of view 2. same as news release
3641,press rolls,noun,heavy rollers which crush the paper as it is going through the papermaking process
3642,pressroom,noun, part of a printing works where the printing is actually carried out
3644,presswork,noun," the work of carrying out a printing job, whether it is printing leaflets or posters, or a multivolume reference work in full colour"
3645,preview,verb, to display text or graphics on a screen as it will appear when it is printed out
3646,previewer,noun,a feature that allows a user to see on screen what a page will look like when printed 
3647,preview screen,noun,a screen on which text or graphics can be previewed
3648,price,noun,"the amount of money needed to buy an item  

3649,price control,noun,legal measures to stop prices rising too fast
3650,price cutting,noun, a sudden lowering of prices
3651,price differential,noun, the difference in price between products in a range
3652,price ex factory,noun,same as factory price
3653,price ex warehouse,noun,the price for a product which is to be collected from the manufacturer's or agent's warehouse and so does not include delivery
3654,price ex factory,noun, a price for a product not including transport from the maker's factory
3655,price fixing,noun, an illegal agreement between companies to charge the same price for competing products
3656,price list,noun, a list of the prices of everything in stock
3657,price range,noun, a series of prices for similar products from different suppliers
3658,price-sensitive product,noun, a product which will sell less if the price is increased
3659,price war,noun, competition between companies to get a larger market share by cutting prices
3660,pricing policy,noun, a company's policy in giving prices to its products
3661,primary colours,noun,"the three primary colours which make white light, or the three process colours used, with black, in fourcolour process work. Also called colour primaries"
3662,primary publishing,noun,the publishing of school books for use in primary schools
3663,primary school textbook,noun,a textbook used in schools teaching children up to about 11 years old
3664,primer,noun,1. a simple instruction book or manual 2. a basic or simple school book for children
3665,print,verb,"1. to produce a book, magazine, newspaper or leaflet by a mechanical process 2. to print to paper to print as many copies as there is paper available, rather than asking for a precise number of copies which might be uneconomical  "
3666,printable,adjective, able to be printed on
3667,print buyer,noun, a person in the production department of a publishing company whose job is to place orders with printers
3668,print buying,noun, the job of placing orders for printing and binding
3669,print contrast ratio,noun, the difference between the brightest and darkest areas of an image
3670,print control character,noun," a special character which directs a printer to perform an action or function such as changing the font, rather than print a character"
3671,printed ephemera,noun,"items such as theatre programmes, leaflets and advertising fliers which would normally be read and thrown away"
3672,printed head-to-head,adjective," relating to a method of printing where two copies are printed from the same sheet, with the heads of the two books together."
3673,printed head-to-tail,adjective," relating to a method of printing where two copies are printed from the same sheet, with the head of one connecting with the bottom edge of the other. "
3674,printed index,noun,an alphabetical list of words used in a text
3675,printed matter,noun,anything that is printed and can be read
3676,printer,noun," 1. a machine that converts electronic data into readable form on paper 2. a person or company that prints books, newspapers or other printed matter"
3677,printer buffer,noun," a temporary store for character data waiting to be printed, used to free the computer before the printing is completed so making the operation faster"
3678,printer control characters,noun,command characters in a text which transmit printing commands to a printer
3679,printer driver,noun,dedicated software that converts and formats the user's commands ready for a printer
3680,printer-plotter,noun, a high-resolution printer that is able to operate as a low-resolution plotter
3681,printer quality,adjective, relating to the standard of printed text from a particular printer
3682,printer's corrections,noun, corrections noted by the printer's reader on the top copy of the proofs before the proofs are sent to the publisher
3683,printer's devil,noun,an apprentice or young helper in a printing workshop
3684,printer's error,noun,"a mistake made by the printer, usually an error in typesetting.

3685,printer's flowers,noun,ornaments available in metal type or transfer lettering. Also called flowers
3686,printer's imprint,noun,a special mention of the name and address of the printer on the inside of a book or periodical
3687,printer's pie,noun, type which has become mixed up and is meaningless
3688,print formatter,noun,software that converts embedded codes and print commands to printer control signals
3689,printhead,noun,a metal form of a character that is pressed onto an inked ribbon to print the character on paper
3690,printing,noun,"1. the art of printing books or magazines, including typesetting, etc. 2. the quantity of copies of a book printed at the same time"
3691,printing cylinder,noun, a cylinder on a press which carries the printing plate
3692,printing down,noun,"preparation of a printing plate by exposing it to a prepared film in a printing-down frame, and subjecting it to light"
3693,printing-down frrame,noun,a vacuum frame used for printing down when making a plate from a film
3694,printing history,noun," details of the printing of a book such as the date of the original printing and dates of reprints, usually listed on the bibliographic page after the title page"
3695,printing house,noun, a company which does printing
3696,Printing Industries Research Association ,noun,full form of PIRA
3697,printing ink,noun," 1. ink made from carbon mixed with oil, used in printing 2. a type of ink only used in printing"
3698,printing order,noun, an order from a publisher to a printer to print a particular number of copies of a book
3699,printing papers,noun, types of paper which can be used for printing
3700,printing press,noun, a machine which presses paper onto type and prints text
3701,printing process,noun,"any method of printing, e.g. letterpress, litho, gravure, screenprinting and flexography"
3702,printing sequence,noun, the order in which the four colours are printed in four-colour work
3703,printing trade,noun,"commercial activities involved in printing books, newspapers, ephemera, etc."
3704,printing works,noun, a factory where books or newspapers are printed.  Also called print works
3705,print life,noun,the number of characters a component can print before needing to be replaced 
3706,printmaking,noun,"the printing of art prints such as lithographs, etchings and linocuts"
3707,printmedia,noun," newspapers, books, journals, magazines, leaflets etc which carry print in a hard copy format"
3708,print modifiers,noun," codes in a document that cause a printer to change mode, e.g. from bold to italic"
3709,print number,noun, the number of copies of a book which are printed at one time
3710,print on demand,noun,"the facility to print and bind a small number of books at short notice, without the need for a large print run, using digital technology. 

3711,print order,noun,"an order from a customer asking a printer to print something, specifying quantity, paper, binding, etc."
3712,print out,verb,to print information from a computer through a printer
3713,printout,noun,a hard copy of a computer file
3714,print pause,noun,"an act of temporarily stopping a printer while printing, e.g. to change paper"
3715,print run,noun,the number of copies of a book which are printed at one time
3716,printshop,noun,a shop where jobbing printing takes place
3717,print style,noun,the typeface and fonts used in any particular document
3718,printwheel,noun,"a wheel made up of a number of arms, with a character at the end of each arm, used in a daisy-wheel printer"
3719,print works,noun,same as printing works
3720,privacy of information,noun,the act of keeping documents secret so that only authorised people are allowed to read them 'New rules for a passenger data collection scheme operated by US authorities may carry a nasty sting for travellers. The scheme � Advance Passenger Information System (Apis) � threatens to cause big delays at check-in and raises ethical questions about a passenger's right to privacy of information.' [Financial Times]
3721,private,adjective,for the use of one person or group only 
3722,private limited company,noun,"a company with a small number of shareholders, whose shares are not traded on the Stock Exchange"
3723,privately printed book,noun,a book printed by a private press
3724,privately published book,noun,a book that has been printed at the author's expense
3725,private press,noun,"a printing press which prints limited numbers of handset books, and sells them to collectors"
3726,process camera,noun,"a camera designed for the stages required in preparing illustrations for printing, such as tone and colour separation"
3727,process colour printing,noun,"the printing of colour plates using four-colour plates, one for each process colour"
3728,process colours,noun," the colours cyan, magenta and yellow which are used together with black to produce all the other colours needed in colour printing. "
3729,processing,noun, 1. the act of developing and printing a film 2. the sorting of information
3730,processor,noun,a computer that is able to manipulate data according to given instructions. 
3731,process plates,noun,colour plates used in four-colour printing
3732,process white,noun," a type of white paint used to cover unwanted block lines on artwork, which does not show when photographed"
3733,process work,noun,printing in four colours
3734,product,noun,1. something that is made to be sold often in large quantities 2. the result of previous actions or discussions
3735,product advertising,noun," the advertising of a particular named product, not the company which makes it"
3736,product analysis,noun," examination of each separate product in a company's range to see why it sells or who buys it, etc."
3737,product design,noun,the design of consumer products
3738,product development,noun,the process of improving a product to meet the needs of the market
3739,product engineer,noun,an engineer in charge of the equipment for making a product
3740,production,noun,1. the creation of something 2. same as production department
3741,production and progress record,noun,a record kept giving details of the production of a book
3742,production budget,noun, a plan of expected expenditure on production
3743,production controller,noun,a person in the production department of a publishing company who deals with printers and other suppliers
3744,production cost,noun, the cost of making a product
3745,production department,noun," the section of a company which deals with the physical manufacture of the company's products, e.g. in a publishing company the department dealing with typesetting, paper buying, printing and binding"
3746,production editor,noun,a person in a production department who also undertakes editorial work
3747,production ledger,noun,"an accounts ledger where a publisher keeps note of all production costs incurred in making a book, from origination to bound books"
3748,production manager,noun,a person in charge of the production department
3749,production rate,noun,the speed at which items such as books or CDs are made. Also called rate of production
3750,production schedule,noun,"a list of dates for all the production processes of a book, e.g. sending copy to the typesetter, layouts, proofing and cover work"
3751,production standards,noun,the quality of the materials and methods used in production
3752,production unit,noun,a separate small group of employees producing a certain product
3753,product line,noun," a series of different products made by the same company which form a group, such as cars in different models or pens in different colours"
3754,product management,noun, the job of directing the making and selling of a product as an independent item
3755,product mix,noun,the particular combination of products made by the same company
3756,profession,noun, a job that requires advanced education or training
3757,professional,adjective,1. relating to work requiring a high level of training and done to a high standard 2. done for money rather than as a hobby
3758,professional an reference publishing,noun,the publishing of special books for the professions and also reference titles
3759,professional publishing,noun,"the publishing of books on law, accountancy and other professions"
3760,professional qualification,noun,a document showing that somebody has successfully finished a course of study
3761,profile,noun, a brief description of something such as an author or a company
3762,profit and loss account,noun," the accounts for a company, with expenditure and income balanced to show a final profit or loss"
